iter	Logloss
172	0.6247597222
173	0.6247124973
174	0.6246173217
175	0.62450275
176	0.6244396501
177	0.6243451345
178	0.6242434459
179	0.6241803174
180	0.6241197905
181	0.6240494737
182	0.6240088774
183	0.6238977861
184	0.6238259176
185	0.6237379663
186	0.6236387532
187	0.6235248674
188	0.6234266
189	0.623312457
190	0.6232140471
191	0.6231256039
192	0.6230464518
193	0.6229747842
194	0.6229403903
195	0.6228452679
196	0.6227500232
197	0.6226733072
198	0.622609836
199	0.622519179
200	0.6224490788
201	0.6223676494
202	0.6222595006
203	0.6221760506
204	0.6221047121
205	0.6219879037
206	0.6219123411
207	0.6218614042
208	0.6217761159
209	0.621670253
210	0.6215794259
211	0.6215071878
212	0.6213964234
213	0.6213319256
214	0.6212390444
215	0.6211586323
216	0.6211128475
217	0.6210531472
218	0.6209733694
219	0.6208891016
220	0.6207585824
221	0.6206858406
222	0.620616719
223	0.6205294817
224	0.620433453
225	0.6203462872
226	0.620281398
227	0.6201900924
228	0.6201174145
229	0.6200126867
230	0.6198987149
231	0.6198363943
232	0.6197618865
233	0.619692567
234	0.6196004769
235	0.6195288089
236	0.6194375901
237	0.619377246
238	0.6192987517
239	0.619221021
240	0.6191781038
241	0.6191039685
242	0.6190029106
243	0.6189269327
244	0.6188392106
245	0.618754252
246	0.6186947989
247	0.6186015507
248	0.6185254244
249	0.6184395116
250	0.6183860971
251	0.6183069224
252	0.6182283463
253	0.6181468149
254	0.6180526509
255	0.6179861138
256	0.617901149
257	0.6178414652
258	0.6177577615
259	0.6177022915
260	0.6176375169
261	0.6175735745
262	0.617474364
263	0.6174100624
264	0.617362358
265	0.6172638125
266	0.61721542
267	0.6171394881
268	0.6170334632
269	0.6169362367
270	0.6168379792
271	0.6167597504
272	0.6166811921
273	0.616636495
274	0.6165696841
275	0.6164831722
276	0.6164093367
277	0.6163445777
278	0.6162789386
279	0.6162039398
280	0.6161338333
281	0.6160679554
282	0.6159694968
283	0.6158777031
284	0.6157862916
285	0.6157279315
286	0.615706918
287	0.615635565
288	0.6155344985
289	0.6154393561
290	0.6153414507
291	0.6152511912
292	0.6151740684
293	0.6150738956
294	0.6150005656
295	0.6149294982
296	0.6148684037
297	0.6148008848
298	0.6146979677
299	0.6146453848
300	0.6145818506
301	0.6145108869
302	0.6144204862
303	0.6143481763
304	0.6142962383
305	0.6142058101
306	0.6141429291
307	0.6140481821
308	0.6139812703
309	0.6139070264
310	0.6138388415
311	0.6137444165
312	0.6136782334
313	0.6136159642
314	0.6135148025
315	0.6134472911
316	0.6133617132
317	0.6133057822
318	0.6132375847
319	0.6131525455
320	0.6130669459
321	0.6130094921
322	0.6129345503
323	0.6128628715
324	0.6127938202
325	0.6127322359
326	0.6127019718
327	0.6126309736
328	0.6125856962
329	0.6125200847
330	0.6124476651
331	0.6124164807
332	0.6123335626
333	0.6122716297
334	0.6121957316
335	0.6121616456
336	0.6121355115
337	0.6120760546
338	0.6120206428
339	0.6119701928
340	0.6119007482
341	0.6118219807
342	0.6117354379
343	0.6116445314
344	0.611581367
345	0.6114837749
346	0.6114055487
347	0.6113428618
348	0.6112672432
349	0.611193851
350	0.6111205171
351	0.6110570215
352	0.6109973482
353	0.610921853
354	0.6108505933
355	0.6107712385
356	0.6106930826
357	0.6106405304
358	0.6105826204
359	0.6105009292
360	0.6104380136
361	0.6103556441
362	0.6102773971
363	0.6102099595
364	0.6101256911
365	0.610079762
366	0.6100205117
367	0.6099738181
368	0.609923277
369	0.6098493303
370	0.6097822006
371	0.609726854
372	0.6096407673
373	0.6095633789
374	0.6095156727
375	0.6094367937
376	0.6093724263
377	0.609296716
378	0.6092049746
379	0.6091462682
380	0.6090691571
381	0.6090150404
382	0.6089252014
383	0.6088366739
384	0.6087578202
385	0.6086782406
386	0.6086227042
387	0.6085986121
388	0.6085345867
389	0.608466496
390	0.6083844798
391	0.6082904584
392	0.6081981482
393	0.6081144579
394	0.6080186191
395	0.6079355543
396	0.6078674347
397	0.6078208691
398	0.607766826
399	0.6076851448
400	0.6076115556
401	0.6075731863
402	0.607474236
403	0.6074298793
404	0.60737863
405	0.6073096551
406	0.6072647131
407	0.6071901721
408	0.607142064
409	0.6070802512
410	0.6070224185
411	0.6069434338
412	0.6068537245
413	0.6067759089
414	0.6066992224
415	0.6066290604
416	0.6065792542
417	0.6065242345
418	0.6064760269
419	0.6063984552
420	0.6063263237
421	0.6062811392
422	0.6062115783
423	0.6061620531
424	0.6060903654
425	0.606009469
426	0.6059582295
427	0.6058946265
428	0.6058376181
429	0.6057653352
430	0.6057219177
431	0.6056683951
432	0.605603692
433	0.6055502838
434	0.60548169
435	0.6054562408
436	0.6053867328
437	0.6053177834
438	0.6052510717
439	0.6051681928
440	0.6051094125
441	0.6050592876
442	0.6050056831
443	0.6049540029
444	0.6048756776
445	0.6047892055
446	0.6047224736
447	0.6046401372
448	0.6045646199
449	0.6044974115
450	0.6044479395
451	0.6043777292
452	0.604353328
453	0.604287868
454	0.6042487458
455	0.6041931525
456	0.60415228
457	0.6040783452
458	0.6040140769
459	0.6039329583
460	0.6038706998
461	0.6038225455
462	0.6037416612
463	0.6036870233
464	0.6036462316
465	0.6035988111
466	0.6035351827
467	0.6034862318
468	0.6034185153
469	0.6033481667
470	0.6033101234
471	0.6032446408
472	0.6031599521
473	0.6030856175
474	0.6030309054
475	0.6029741788
476	0.602896838
477	0.6028340792
478	0.6027612812
479	0.602699208
480	0.6026258798
481	0.6025456524
482	0.6024727356
483	0.602418904
484	0.6023514332
485	0.6022879923
486	0.6022270104
487	0.6021674256
488	0.6021021945
489	0.6020320376
490	0.6020002936
491	0.6019463748
492	0.6019060345
493	0.6018331416
494	0.601792051
495	0.6017170089
496	0.6016382838
497	0.6015727963
498	0.6015383015
499	0.6014928169
500	0.6014559856
501	0.6013906862
502	0.6013356309
503	0.6012949361
504	0.6012318051
505	0.6011775082
506	0.6011118881
507	0.6010309837
508	0.6009400359
509	0.6008922559
510	0.6008221267
511	0.6007745868
512	0.6007054154
513	0.6006372432
514	0.6005611736
515	0.6005198403
516	0.6004755711
517	0.6004147312
518	0.6003380116
519	0.600312915
520	0.6002613811
521	0.6002138079
522	0.6001581733
523	0.6001137374
524	0.6000595502
525	0.60001911
526	0.5999637604
527	0.599897723
528	0.5998330727
529	0.5997519045
530	0.5997033989
531	0.599634623
532	0.5995693578
533	0.5995069839
534	0.5994542424
535	0.5993991238
536	0.5993356319
537	0.5992845083
538	0.5992335444
539	0.5991577636
540	0.5991066616
541	0.5990454625
542	0.598992322
543	0.598920865
544	0.5988254215
545	0.5987709879
546	0.5987349057
547	0.5986962835
548	0.5986279875
549	0.5985809584
550	0.5985274254
551	0.5984561139
552	0.5983897233
553	0.5983249988
554	0.5982499064
555	0.5981865714
556	0.5980994363
557	0.5980477679
558	0.5979893792
559	0.5979291926
560	0.5978738219
561	0.5978269992
562	0.597765535
563	0.5977133711
564	0.5976661607
565	0.5976223236
566	0.5975664416
567	0.5975385247
568	0.5974642389
569	0.5974441494
570	0.5973912057
571	0.5973462932
572	0.5972851065
573	0.5972378018
574	0.5971711168
575	0.5971113424
576	0.5970493612
577	0.5969790891
578	0.5969276018
579	0.5968686161
580	0.5968016622
581	0.5967322732
582	0.5966880263
583	0.5966460068
584	0.5965938474
585	0.5965281416
586	0.5964765732
587	0.5964085838
588	0.5963361032
589	0.5962674473
590	0.596201983
591	0.5961566423
592	0.59609011
593	0.5960537467
594	0.5959979376
595	0.595943048
596	0.5959013438
597	0.5958483805
598	0.5957873535
599	0.5957268322
600	0.595658121
601	0.5956073508
602	0.5955393963
603	0.5955023526
604	0.5954487878
605	0.5953834315
606	0.5953191
607	0.5952629667
608	0.5952245475
609	0.5951717034
610	0.5951134215
611	0.5950627422
612	0.5950464996
613	0.5949783
614	0.5949380986
615	0.594884749
616	0.5948475365
617	0.5947995127
618	0.5947282362
619	0.5946950769
620	0.59463588
621	0.5945601588
622	0.5944981977
623	0.5944383311
624	0.594379987
625	0.5943469491
626	0.5942925258
627	0.594253571
628	0.5941728955
629	0.5940999508
630	0.5940311722
631	0.5939731897
632	0.5939374004
633	0.5938589106
634	0.5938284642
635	0.5937921493
636	0.5937514941
637	0.5936932659
638	0.5936378421
639	0.5935898316
640	0.5935157698
641	0.5934635386
642	0.5934149445
643	0.5933515542
644	0.5932955073
645	0.5932386024
646	0.5931932
647	0.5931366609
648	0.5930829451
649	0.5930370913
650	0.5930012193
651	0.5929606701
652	0.5928859771
653	0.5928306862
654	0.5927927834
655	0.5927331662
656	0.5927096056
657	0.5926772753
658	0.5926291125
659	0.5925636863
660	0.5925228436
661	0.5924621493
662	0.5924350549
663	0.5923902788
664	0.5923332492
665	0.5922884741
666	0.5922309779
667	0.5921954121
668	0.592141122
669	0.5920895195
670	0.59205247
671	0.5920060083
672	0.5919572113
673	0.5918961982
674	0.5918380382
675	0.5917809309
676	0.5917166096
677	0.5916527792
678	0.5915887867
679	0.5915489462
680	0.5914997551
681	0.5914567021
682	0.5913968492
683	0.5913403453
684	0.5912677061
685	0.5912076581
686	0.5911705978
687	0.5911347732
688	0.5910811336
689	0.5910294997
690	0.5909675925
691	0.590930092
692	0.5908892481
693	0.5908333459
694	0.5907732676
695	0.590720933
696	0.5906568628
697	0.5906200285
698	0.5905791799
699	0.5905158817
700	0.5904566574
701	0.5904180155
702	0.5903518489
703	0.5903082152
704	0.5902654396
705	0.5902022143
706	0.5901697529
707	0.5901273457
708	0.5900907435
709	0.5900606582
710	0.5900037623
711	0.5899447377
712	0.5898766336
713	0.5898072261
714	0.5897494613
715	0.5897081692
716	0.5896490539
717	0.5895754988
718	0.5895183153
719	0.5894580212
720	0.5893899912
721	0.5893282379
722	0.5892809996
723	0.589242336
724	0.5891965522
725	0.5891496627
726	0.5890965737
727	0.5890497434
728	0.5889983972
729	0.5889405514
730	0.5889074863
731	0.5888496771
732	0.5887888172
733	0.5887387346
734	0.5886619691
735	0.5886088405
736	0.5885621862
737	0.5885308883
738	0.588464374
739	0.5884126076
740	0.5883581722
741	0.5883002043
742	0.5882622788
743	0.5882193467
744	0.5881647921
745	0.5881127063
746	0.588079164
747	0.5880324017
748	0.5879910355
749	0.5879548824
750	0.5879136425
751	0.5878653882
752	0.587806943
753	0.5877603832
754	0.5877136313
755	0.5876481362
756	0.5875883594
757	0.5875366787
758	0.5874831773
759	0.5874315904
760	0.5873772041
761	0.5873477982
762	0.5872710759
763	0.5872436558
764	0.5872127529
765	0.5871587991
766	0.5871224049
767	0.5870754558
768	0.5870135321
769	0.586952438
770	0.5869116668
771	0.5868459458
772	0.5867769426
773	0.5867212183
774	0.5866578608
775	0.586591397
776	0.5865191609
777	0.5864712808
778	0.5864109448
779	0.5863734017
780	0.5862954185
781	0.5862314494
782	0.5861943329
783	0.5861588085
784	0.5861195931
785	0.5860722277
786	0.5860289165
787	0.5859830394
788	0.5859268468
789	0.5858841735
790	0.5858168256
791	0.585782518
792	0.5857530612
793	0.585704719
794	0.585653477
795	0.5856177614
796	0.5855549923
797	0.5855207294
798	0.5854646352
799	0.5854042508
800	0.5853547832
801	0.5853215029
802	0.5852765393
803	0.5852182436
804	0.5851640951
805	0.5851096052
806	0.5850803917
807	0.5850172227
808	0.584963574
809	0.5849302359
810	0.5848832334
811	0.5848467695
812	0.5848003096
813	0.5847360956
814	0.5846907549
815	0.5846494948
816	0.5846005019
817	0.5845503774
818	0.5845116683
819	0.5844589031
820	0.5844039355
821	0.5843679093
822	0.5843123026
823	0.5842800123
824	0.584244913
825	0.5842150626
826	0.5841678801
827	0.5841124425
828	0.584055026
829	0.5840236355
830	0.5839730601
831	0.5839139564
832	0.5838707082
833	0.5838100747
834	0.5837411547
835	0.5837087246
836	0.5836666885
837	0.583613121
838	0.5835486623
839	0.5834908976
840	0.5834411302
841	0.583408158
842	0.5833523508
843	0.5833109309
844	0.5832575451
845	0.583201084
846	0.5831777568
847	0.5831402223
848	0.5830901823
849	0.5830278038
850	0.5829834684
851	0.5829284244
852	0.5828857294
853	0.5828504776
854	0.5828194555
855	0.5827461997
856	0.5826990483
857	0.5826435867
858	0.5825897151
859	0.5825374021
860	0.5824908934
861	0.5824464046
862	0.5824113262
863	0.5823727907
864	0.5823287715
865	0.5823101096
866	0.5822703743
867	0.5822301626
868	0.5822035206
869	0.5821492616
870	0.5820941992
871	0.5820176343
872	0.5819836727
873	0.5819074571
874	0.5818588311
875	0.5817990635
876	0.5817390022
877	0.5817121574
878	0.5816828635
879	0.5816325513
880	0.581616417
881	0.581561727
882	0.5815157621
883	0.5814757295
884	0.581422653
885	0.5813710148
886	0.5813445562
887	0.5813129467
888	0.5812612468
889	0.5812167457
890	0.581163995
891	0.5811222043
892	0.5810772147
893	0.5810318865
894	0.5809848675
895	0.5809442351
896	0.5809061116
897	0.5808402512
898	0.5807555223
899	0.5807028875
900	0.5806667335
901	0.5806141831
902	0.5805494102
903	0.5804830915
904	0.5804508739
905	0.5804055518
906	0.580360594
907	0.580312306
908	0.5802573973
909	0.5801880949
910	0.5801550488
911	0.5801031482
912	0.5800499777
913	0.5800035544
914	0.5799460519
915	0.5799000642
916	0.579841635
917	0.5797580903
918	0.5797170827
919	0.5796768536
920	0.5796182656
921	0.579586692
922	0.5795428279
923	0.5794830934
924	0.5794354468
925	0.5794110743
926	0.5793707612
927	0.579326191
928	0.5792824769
929	0.5792224536
930	0.579169401
931	0.579111829
932	0.5790655566
933	0.5790268107
934	0.5789617062
935	0.5789076817
936	0.5788650875
937	0.5788244407
938	0.5787748705
939	0.5787405539
940	0.5787041467
941	0.5786658622
942	0.5786060752
943	0.5785799591
944	0.5785121655
945	0.578469728
946	0.5784297822
947	0.5783743361
948	0.5783274699
949	0.5782923572
950	0.5782598921
951	0.5782131938
952	0.578171318
953	0.5781200222
954	0.5780952414
955	0.5780472194
956	0.5780046544
957	0.5779686477
958	0.577915564
959	0.5778732853
960	0.5778416507
961	0.577797788
962	0.5777363285
963	0.5776853572
964	0.5776248568
965	0.5775724031
966	0.5775252876
967	0.5774819934
968	0.5774336677
969	0.5773840257
970	0.5773286276
971	0.5772797929
972	0.5772265179
973	0.5771725426
974	0.5771312162
975	0.5771088016
976	0.5770494152
977	0.5769865378
978	0.5769406249
979	0.5768858789
980	0.5768237764
981	0.576778333
982	0.5767365227
983	0.5766748901
984	0.576631695
985	0.5765910404
986	0.5765497871
987	0.5764988313
988	0.5764632573
989	0.5764136375
990	0.5763473551
991	0.5762978697
992	0.5762495282
993	0.5762182026
994	0.5761713989
995	0.5761162713
996	0.5760539225
997	0.576016876
998	0.5759925962
999	0.575943073
