iter	Passed	Remaining
401	16667	24794
402	16714	24761
403	16754	24716
404	16792	24669
405	16830	24623
406	16870	24580
407	16912	24539
408	16951	24494
409	16995	24457
410	17033	24410
411	17072	24366
412	17116	24327
413	17153	24280
414	17194	24238
415	17239	24202
416	17277	24155
417	17316	24110
418	17356	24067
419	17398	24026
420	17436	23980
421	17479	23941
422	17528	23909
423	17570	23869
424	17609	23824
425	17647	23778
426	17689	23738
427	17730	23695
428	17768	23650
429	17817	23618
430	17853	23570
431	17893	23525
432	17937	23488
433	17974	23441
434	18010	23393
435	18052	23351
436	18090	23307
437	18134	23268
438	18172	23222
439	18215	23183
440	18254	23138
441	18293	23094
442	18333	23050
443	18375	23011
444	18434	22991
445	18514	22997
446	18556	22957
447	18601	22919
448	18645	22880
449	18685	22837
450	18725	22794
451	18774	22762
452	18823	22728
453	18857	22678
454	18893	22631
455	18930	22584
456	18974	22544
457	19015	22503
458	19062	22468
459	19105	22428
460	19146	22386
461	19185	22342
462	19227	22300
463	19293	22287
464	19334	22245
465	19372	22199
466	19412	22156
467	19458	22119
468	19503	22081
469	19545	22040
470	19591	22003
471	19631	21960
472	19674	21920
473	19715	21878
474	19753	21832
475	19791	21787
476	19834	21747
477	19874	21704
478	19911	21657
479	19950	21612
480	19991	21570
481	20033	21529
482	20074	21487
483	20119	21449
484	20162	21409
485	20201	21365
486	20245	21326
487	20283	21281
488	20320	21234
489	20357	21188
490	20404	21152
491	20466	21132
492	20527	21110
493	20565	21064
494	20606	21022
495	20646	20979
496	20684	20934
497	20726	20892
498	20772	20856
499	20814	20814
500	20861	20778
501	20903	20736
502	20942	20692
503	20984	20651
504	21023	20607
505	21066	20567
506	21112	20529
507	21153	20487
508	21195	20446
509	21245	20412
510	21285	20368
511	21326	20327
512	21368	20285
513	21405	20239
514	21444	20194
515	21487	20155
516	21527	20112
517	21567	20068
518	21613	20031
519	21649	19984
520	21688	19939
521	21728	19896
522	21769	19854
523	21808	19810
524	21846	19766
525	21885	19721
526	21923	19676
527	21967	19637
528	22007	19594
529	22083	19583
530	22144	19558
531	22197	19527
532	22236	19483
533	22273	19437
534	22320	19399
535	22362	19358
536	22405	19317
537	22463	19290
538	22505	19248
539	22543	19203
540	22582	19159
541	22624	19117
542	22691	19097
543	22728	19051
544	22767	19007
545	22811	18967
546	22850	18923
547	22893	18882
548	22933	18839
549	22969	18793
550	23007	18748
551	23046	18704
552	23087	18661
553	23124	18616
554	23168	18576
555	23214	18538
556	23259	18499
557	23305	18460
558	23345	18417
559	23388	18376
560	23429	18334
561	23471	18292
562	23517	18254
563	23554	18209
564	23593	18164
565	23632	18121
566	23670	18076
567	23715	18037
568	23760	17998
569	23797	17952
570	23837	17909
571	23874	17864
572	23912	17819
573	23954	17778
574	23994	17734
575	24032	17690
576	24073	17648
577	24112	17604
578	24153	17562
579	24193	17519
580	24231	17475
581	24270	17431
582	24312	17390
583	24350	17345
584	24398	17308
585	24491	17303
586	24540	17266
587	24583	17225
588	24624	17183
589	24668	17142
590	24715	17104
591	24753	17059
592	24790	17015
593	24831	16972
594	24874	16931
595	24910	16885
596	24947	16840
597	24989	16799
598	25028	16755
599	25073	16715
600	25135	16687
601	25187	16651
602	25246	16621
603	25286	16578
604	25325	16534
605	25364	16491
606	25404	16448
607	25445	16405
608	25485	16362
609	25533	16324
610	25577	16283
611	25617	16241
612	25657	16197
613	25699	16156
614	25737	16111
615	25778	16069
616	25819	16027
617	25861	15985
618	25902	15943
619	25942	15900
620	25985	15859
621	26028	15817
622	26078	15781
623	26121	15739
624	26161	15696
625	26201	15653
626	26240	15610
627	26276	15565
628	26314	15521
629	26355	15478
630	26394	15435
631	26437	15393
632	26481	15353
633	26521	15310
634	26561	15267
635	26601	15224
636	26637	15179
637	26673	15134
638	26716	15093
639	26754	15049
640	26803	15011
